TYPE	Proliferation	Invasion	Metastasis	Migration	DNA_Repair	Apoptosis	Nodes	Node1	Node2	mutant1	mutant2	gene1	gene2
DOUBLE	-2.5682743	4.9517191	-2.0098	-4.0166	-0.0028	3.6470944	AKT_ko__beta_catenin_oe	AKT_ko	beta_catenin_oe	KO	OE	AKT	beta_catenin
DOUBLE	-2.40915923	2.9550372	-2.0098	-4.0166	-0.0032	2.992306	AKT_ko__BIRC5_ko	AKT_ko	BIRC5_ko	KO	KO	AKT	BIRC5
DOUBLE	-2.40568023	3.0826517	-2.0098	-4.0166	-0.0056	3.206207	AKT_ko__BIRC5_oe	AKT_ko	BIRC5_oe	KO	OE	AKT	BIRC5
DOUBLE	-2.40195205	2.0039019	-2.0098	-4.0166	-0.0086	1.4881795	AKT_ko__BMP2_ko	AKT_ko	BMP2_ko	KO	KO	AKT	BMP2
DOUBLE	-2.33296973	7.07092	-2.0098	-4.0166	-0.0078	8.423656	AKT_ko__BMP2_oe	AKT_ko	BMP2_oe	KO	OE	AKT	BMP2
DOUBLE	-2.44666632	3.3643908	-2.0098	-4.0166	-0.041	3.1500994	AKT_ko__BRCA1_ko	AKT_ko	BRCA1_ko	KO	KO	AKT	BRCA1
DOUBLE	-2.16326256	1.3979076	-2.0098	-4.0166	0.0314	1.9339832	AKT_ko__BRCA1_oe	AKT_ko	BRCA1_oe	KO	OE	AKT	BRCA1
DOUBLE	-2.3644871	2.9895446	-2.0098	-4.0166	-0.0038	3.0568824	AKT_ko__BRCA2_ko	AKT_ko	BRCA2_ko	KO	KO	AKT	BRCA2
DOUBLE	-2.47538122	2.283525	-2.0098	-4.0166	0.0328	2.4467505	AKT_ko__BRCA2_oe	AKT_ko	BRCA2_oe	KO	OE	AKT	BRCA2
DOUBLE	-2.32892267	3.1143632	-2.0098	-4.0166	-0.0064	3.2196755	AKT_ko__Caspase3_ko	AKT_ko	Caspase3_ko	KO	KO	AKT	Caspase3
DOUBLE	-3.7018	16.237506	-2.0098	-4.0166	-0.0052	22.440106	AKT_ko__Caspase3_oe	AKT_ko	Caspase3_oe	KO	OE	AKT	Caspase3
DOUBLE	-2.42108779	-0.2699536	-2.0098	-4.0166	0.0154	-1.005	AKT_ko__Caspase8_ko	AKT_ko	Caspase8_ko	KO	KO	AKT	Caspase8
DOUBLE	-3.706	17.281536	-2.0098	-4.0166	-0.041	23.475136	AKT_ko__Caspase8_oe	AKT_ko	Caspase8_oe	KO	OE	AKT	Caspase8
DOUBLE	-2.29463673	2.6041204	-2.0098	-4.0166	-0.0028	2.6458274	AKT_ko__Caspase9_ko	AKT_ko	Caspase9_ko	KO	KO	AKT	Caspase9
DOUBLE	-3.6874	15.412498	-2.0098	-4.0166	-0.004	21.622098	AKT_ko__Caspase9_oe	AKT_ko	Caspase9_oe	KO	OE	AKT	Caspase9
DOUBLE	-2.31442265	0.5085906	-2.0098	-4.0166	-0.005	1.1839521	AKT_ko__CDH2_ko	AKT_ko	CDH2_ko	KO	KO	AKT	CDH2
DOUBLE	-2.36575535	3.4408657	-2.0098	-4.0166	-0.0042	3.3402803	AKT_ko__CDH2_oe	AKT_ko	CDH2_oe	KO	OE	AKT	CDH2
DOUBLE	-2.66704838	4.39661	-2.0098	-4.0166	-0.0184	5.2240994	AKT_ko__cFLAR_ko	AKT_ko	cFLAR_ko	KO	KO	AKT	cFLAR
DOUBLE	-2.32355866	-0.256903791	-2.0098	-4.0166	0.0136	-0.996252991	AKT_ko__cFLAR_oe	AKT_ko	cFLAR_oe	KO	OE	AKT	cFLAR
DOUBLE	-2.39999467	3.0276216	-2.0098	-4.0166	-0.0056	2.9799593	AKT_ko__CHK1_2_ko	AKT_ko	CHK1_2_ko	KO	KO	AKT	CHK1_2
DOUBLE	-2.42189565	2.8974758	-2.0098	-4.0166	-0.000199999999999999	2.864301	AKT_ko__CHK1_2_oe	AKT_ko	CHK1_2_oe	KO	OE	AKT	CHK1_2
DOUBLE	-2.37610856	2.6277451	-2.0098	-4.0166	-0.0052	2.6238995	AKT_ko__COX4I2_ko	AKT_ko	COX4I2_ko	KO	KO	AKT	COX4I2
DOUBLE	-2.40897654	2.7296237	-2.0098	-4.0166	-0.00600000000000001	2.6828138	AKT_ko__COX4I2_oe	AKT_ko	COX4I2_oe	KO	OE	AKT	COX4I2
DOUBLE	-2.85671317	3.4794388	-2.0098	-4.0166	-0.007	3.1532994	AKT_ko__CyclinB_ko	AKT_ko	CyclinB_ko	KO	KO	AKT	CyclinB
DOUBLE	0.7842574	-3.5867283	-2.0098	-4.0166	0.0018	-0.9052	AKT_ko__CyclinB_oe	AKT_ko	CyclinB_oe	KO	OE	AKT	CyclinB
DOUBLE	-2.41364833	2.9210046	-2.0098	-4.0166	0.0128	3.102364	AKT_ko__CyclinD_ko	AKT_ko	CyclinD_ko	KO	KO	AKT	CyclinD
DOUBLE	0.9205128	-3.4507443	-2.0098	-4.0166	-0.041	-0.8972	AKT_ko__CyclinD_oe	AKT_ko	CyclinD_oe	KO	OE	AKT	CyclinD
DOUBLE	-2.38005525	2.7817646	-2.0098	-4.0166	-0.009	2.8148907	AKT_ko__CytoC_ko	AKT_ko	CytoC_ko	KO	KO	AKT	CytoC
DOUBLE	-2.32635482	2.8926121	-2.0098	-4.0166	-0.0058	3.0149473	AKT_ko__CytoC_oe	AKT_ko	CytoC_oe	KO	OE	AKT	CytoC
DOUBLE	-2.21140195	2.6435448	-2.0098	-4.0166	-0.0034	2.9957216	AKT_ko__DAXX_ko	AKT_ko	DAXX_ko	KO	KO	AKT	DAXX
DOUBLE	-2.61316272	3.3472777	-2.0098	-4.0166	-0.0028	3.142152	AKT_ko__DAXX_oe	AKT_ko	DAXX_oe	KO	OE	AKT	DAXX
DOUBLE	-2.44558682	2.7408852	-2.0098	-4.0166	-0.041	2.0781044	AKT_ko__DNA_Damage_ko	AKT_ko	DNA_Damage_ko	KO	KO	AKT	DNA_Damage
DOUBLE	-2.285878	4.6210395	-2.0098	-4.0166	0.2156	7.805379	AKT_ko__DNA_Damage_oe	AKT_ko	DNA_Damage_oe	KO	OE	AKT	DNA_Damage
DOUBLE	-2.3552552	2.6574474	-2.0098	-4.0166	-0.0026	2.6905606	AKT_ko__Dsh_ko	AKT_ko	Dsh_ko	KO	KO	AKT	Dsh
DOUBLE	-2.3826626	2.9521548	-2.0098	-4.0166	-0.003	3.0588824	AKT_ko__Dsh_oe	AKT_ko	Dsh_oe	KO	OE	AKT	Dsh
DOUBLE	-2.28870442	2.5899966	-2.0098	-4.0166	-0.0052	2.6376787	AKT_ko__E_cadherin_ko	AKT_ko	E_cadherin_ko	KO	KO	AKT	E_cadherin
DOUBLE	-2.39626599	2.9862158	-2.0098	-4.0166	-0.0044	3.08506	AKT_ko__E_cadherin_oe	AKT_ko	E_cadherin_oe	KO	OE	AKT	E_cadherin
DOUBLE	-4.014	4.5975515	-2.0098	-4.0166	0.0136	3.031641	AKT_ko__E2F1_ko	AKT_ko	E2F1_ko	KO	KO	AKT	E2F1
DOUBLE	1.0766147	-3.8249137	-2.0098	-4.0166	-0.0172	-0.897055	AKT_ko__E2F1_oe	AKT_ko	E2F1_oe	KO	OE	AKT	E2F1
DOUBLE	-2.2943401	2.84722	-2.0098	-4.0166	0	2.9801593	AKT_ko__eEF2_ko	AKT_ko	eEF2_ko	KO	KO	AKT	eEF2
DOUBLE	-2.42097755	3.0970366	-2.0098	-4.0166	-0.0052	3.117511	AKT_ko__eEF2_oe	AKT_ko	eEF2_oe	KO	OE	AKT	eEF2
DOUBLE	-2.33776966	2.8731158	-2.0098	-4.0166	-0.0032	2.986906	AKT_ko__eEF2K_ko	AKT_ko	eEF2K_ko	KO	KO	AKT	eEF2K
DOUBLE	-2.3797625	2.7058154	-2.0098	-4.0166	-0.0062	2.7172018	AKT_ko__eEF2K_oe	AKT_ko	eEF2K_oe	KO	OE	AKT	eEF2K
DOUBLE	-2.30841173	2.8599001	-2.0098	-4.0166	-0.0042	2.987106	AKT_ko__EGFR_ko	AKT_ko	EGFR_ko	KO	KO	AKT	EGFR
DOUBLE	-2.41093073	2.8663723	-2.0098	-4.0166	-0.0024	2.888742	AKT_ko__EGFR_oe	AKT_ko	EGFR_oe	KO	OE	AKT	EGFR
DOUBLE	-2.3081652	2.961152	-2.0098	-4.0166	-0.0084	3.1108376	AKT_ko__EMT_ko	AKT_ko	EMT_ko	KO	KO	AKT	EMT
DOUBLE	-2.43307388	2.9292096	-2.0098	-4.0166	-0.0054	3.0072	AKT_ko__EMT_oe	AKT_ko	EMT_oe	KO	OE	AKT	EMT
DOUBLE	-2.3409695	2.7745768	-2.0098	-4.0166	-0.006	2.92193	AKT_ko__EP300_ko	AKT_ko	EP300_ko	KO	KO	AKT	EP300
DOUBLE	-2.40602363	2.8428563	-2.0098	-4.0166	0.00439999999999999	2.9767898	AKT_ko__EP300_oe	AKT_ko	EP300_oe	KO	OE	AKT	EP300
DOUBLE	-2.34912365	3.0713843	-2.0098	-4.0166	-0.0012	3.236769	AKT_ko__ERG_ko	AKT_ko	ERG_ko	KO	KO	AKT	ERG
DOUBLE	-2.2764403	2.9554547	-2.0098	-4.0166	-0.0058	3.1111643	AKT_ko__ERG_oe	AKT_ko	ERG_oe	KO	OE	AKT	ERG
DOUBLE	-2.68023342	4.4449362	-2.0098	-4.0166	-0.0138	5.2047526	AKT_ko__ERK_ko	AKT_ko	ERK_ko	KO	KO	AKT	ERK
DOUBLE	-2.29993312	2.8193509	-2.0098	-4.0166	-0.0028	3.0064	AKT_ko__ERK_oe	AKT_ko	ERK_oe	KO	OE	AKT	ERK
DOUBLE	-2.3134302	2.8161938	-2.0098	-4.0166	-0.0096	2.8551402	AKT_ko__ETS1_ko	AKT_ko	ETS1_ko	KO	KO	AKT	ETS1
DOUBLE	-2.40675555	3.2894465	-2.0098	-4.0166	-0.003	3.3840855	AKT_ko__ETS1_oe	AKT_ko	ETS1_oe	KO	OE	AKT	ETS1
DOUBLE	-2.39185183	3.1234104	-2.0098	-4.0166	-0.006	3.2200755	AKT_ko__ETV1_ko	AKT_ko	ETV1_ko	KO	KO	AKT	ETV1
DOUBLE	-2.4205665	2.9775432	-2.0098	-4.0166	-0.0074	3.0064	AKT_ko__ETV1_oe	AKT_ko	ETV1_oe	KO	OE	AKT	ETV1
DOUBLE	-2.35707987	2.8429088	-2.0098	-4.0166	-0.0076	2.862701	AKT_ko__EZH2_ko	AKT_ko	EZH2_ko	KO	KO	AKT	EZH2
DOUBLE	-2.43964375	4.2638895	-2.0098	-4.0166	-0.0062	2.9952	AKT_ko__EZH2_oe	AKT_ko	EZH2_oe	KO	OE	AKT	EZH2
DOUBLE	-2.41879185	-0.2512021	-2.0098	-4.0166	0.0144	-1.0044	AKT_ko__FADD_ko	AKT_ko	FADD_ko	KO	KO	AKT	FADD
DOUBLE	-2.37512279	10.9448418	-2.0098	-4.0166	-0.0182	13.585886	AKT_ko__FADD_oe	AKT_ko	FADD_oe	KO	OE	AKT	FADD
DOUBLE	-2.40818775	2.3804781	-2.0098	-4.0166	0.000599999999999996	2.2931984	AKT_ko__FGFR3_ko	AKT_ko	FGFR3_ko	KO	KO	AKT	FGFR3
DOUBLE	-2.45429502	3.4124231	-2.0098	-4.0166	-0.0064	3.5417144	AKT_ko__FGFR3_oe	AKT_ko	FGFR3_oe	KO	OE	AKT	FGFR3
DOUBLE	-2.3455837	2.2043746	-2.0098	-4.0166	0.00319999999999999	2.2154753	AKT_ko__FOS_ko	AKT_ko	FOS_ko	KO	KO	AKT	FOS
DOUBLE	-2.3592837	2.8368996	-2.0098	-4.0166	-0.0044	2.870448	AKT_ko__FOS_oe	AKT_ko	FOS_oe	KO	OE	AKT	FOS
DOUBLE	-2.29481582	2.7811614	-2.0098	-4.0166	-0.0046	2.9813593	AKT_ko__FOXA1_ko	AKT_ko	FOXA1_ko	KO	KO	AKT	FOXA1
DOUBLE	-2.47016262	3.4314531	-2.0098	-4.0166	-0.0046	3.4496447	AKT_ko__FOXA1_oe	AKT_ko	FOXA1_oe	KO	OE	AKT	FOXA1
DOUBLE	-2.32862675	3.130749	-2.0098	-4.0166	-0.004	3.2913806	AKT_ko__FOXO_ko	AKT_ko	FOXO_ko	KO	KO	AKT	FOXO
DOUBLE	-1.44629713	1.7315721	-2.0098	-4.0166	0.0104	3.1073643	AKT_ko__FOXO_oe	AKT_ko	FOXO_oe	KO	OE	AKT	FOXO
DOUBLE	-2.33206183	2.9104824	-2.0098	-4.0166	-0.0042	2.9028361	AKT_ko__FRS2_ko	AKT_ko	FRS2_ko	KO	KO	AKT	FRS2
DOUBLE	-2.3377695	2.6452174	-2.0098	-4.0166	-0.0016	2.732296	AKT_ko__FRS2_oe	AKT_ko	FRS2_oe	KO	OE	AKT	FRS2
DOUBLE	-2.38712683	2.8397802	-2.0098	-4.0166	-0.002	2.8618	AKT_ko__fused_event_ko	AKT_ko	fused_event_ko	KO	KO	AKT	fused_event
DOUBLE	-2.38611282	2.8901149	-2.0098	-4.0166	-0.0052	2.955318	AKT_ko__fused_event_oe	AKT_ko	fused_event_oe	KO	OE	AKT	fused_event
DOUBLE	-2.353823	2.754681	-2.0098	-4.0166	-0.0056	2.880432	AKT_ko__GADD45_ko	AKT_ko	GADD45_ko	KO	KO	AKT	GADD45
DOUBLE	-2.31577627	2.9287696	-2.0098	-4.0166	-0.0052	2.9288036	AKT_ko__GADD45_oe	AKT_ko	GADD45_oe	KO	OE	AKT	GADD45
DOUBLE	-2.3021587	1.765206	-2.0098	-4.0166	-0.0022	1.5815968	AKT_ko__GLI_ko	AKT_ko	GLI_ko	KO	KO	AKT	GLI
DOUBLE	-2.49043735	10.9617896	-2.0098	-4.0166	-0.0166	12.851272	AKT_ko__GLI_oe	AKT_ko	GLI_oe	KO	OE	AKT	GLI
DOUBLE	-2.3578657	3.039943	-2.0098	-4.0166	-0.0056	3.1773404	AKT_ko__GLUT1_ko	AKT_ko	GLUT1_ko	KO	KO	AKT	GLUT1
DOUBLE	-2.37026593	2.8822119	-2.0098	-4.0166	-0.0042	3.0620824	AKT_ko__GLUT1_oe	AKT_ko	GLUT1_oe	KO	OE	AKT	GLUT1
DOUBLE	-2.38473385	2.980391	-2.0098	-4.0166	-0.0106	3.037241	AKT_ko__GSH_ko	AKT_ko	GSH_ko	KO	KO	AKT	GSH
DOUBLE	-2.43845563	3.1263474	-2.0098	-4.0166	-0.0036	3.1600463	AKT_ko__GSH_oe	AKT_ko	GSH_oe	KO	OE	AKT	GSH
DOUBLE	-2.39218384	2.9043668	-2.0098	-4.0166	-0.0036	2.9990532	AKT_ko__GSK3_ko	AKT_ko	GSK3_ko	KO	KO	AKT	GSK3
DOUBLE	-1.76698023	-1.23944903	-2.0098	-4.0166	0.0152	1.3276513	AKT_ko__GSK3_oe	AKT_ko	GSK3_oe	KO	OE	AKT	GSK3
DOUBLE	-1.2769503	1.6987518	-2.0098	-4.0166	-0.0154	3.094514	AKT_ko__HIF1_ko	AKT_ko	HIF1_ko	KO	KO	AKT	HIF1
DOUBLE	-4.014	4.1365206	-2.0098	-4.0166	0.0104	2.787578	AKT_ko__HIF1_oe	AKT_ko	HIF1_oe	KO	OE	AKT	HIF1
DOUBLE	-2.0907943	2.1504266	-2.0098	-4.0166	-0.00720000000000001	2.6572255	AKT_ko__HSPs_ko	AKT_ko	HSPs_ko	KO	KO	AKT	HSPs
DOUBLE	-2.8019058	3.8095836	-2.0098	-4.0166	-0.0054	3.3888154	AKT_ko__HSPs_oe	AKT_ko	HSPs_oe	KO	OE	AKT	HSPs
DOUBLE	-2.3603621	2.9054369	-2.0098	-4.0166	-0.0062	3.052118	AKT_ko__IDH1_ko	AKT_ko	IDH1_ko	KO	KO	AKT	IDH1
DOUBLE	-2.41553065	3.1702515	-2.0098	-4.0166	-0.01	3.2646106	AKT_ko__IDH1_oe	AKT_ko	IDH1_oe	KO	OE	AKT	IDH1
DOUBLE	-2.27484415	2.7473547	-2.0098	-4.0166	-0.0028	2.881947	AKT_ko__IKK_ko	AKT_ko	IKK_ko	KO	KO	AKT	IKK
DOUBLE	-2.3834341	3.1161616	-2.0098	-4.0166	-0.0018	3.1512994	AKT_ko__IKK_oe	AKT_ko	IKK_oe	KO	OE	AKT	IKK
DOUBLE	-2.3561547	2.9693978	-2.0098	-4.0166	-0.0054	3.0938907	AKT_ko__JNK_ko	AKT_ko	JNK_ko	KO	KO	AKT	JNK
DOUBLE	-2.66521292	4.63085276	-2.0098	-4.0166	-0.0244	5.4433195	AKT_ko__JNK_oe	AKT_ko	JNK_oe	KO	OE	AKT	JNK
DOUBLE	-2.39805537	3.1781437	-2.0098	-4.0166	0.00199999999999999	3.3399335	AKT_ko__JUN_ko	AKT_ko	JUN_ko	KO	KO	AKT	JUN
DOUBLE	-2.3649695	3.0547969	-2.0098	-4.0166	-0.0064	3.1486994	AKT_ko__JUN_oe	AKT_ko	JUN_oe	KO	OE	AKT	JUN
DOUBLE	-2.3557481	2.7403472	-2.0098	-4.0166	-0.002	2.8177657	AKT_ko__Lactic_acid_ko	AKT_ko	Lactic_acid_ko	KO	KO	AKT	Lactic_acid
DOUBLE	-2.31359565	2.6095653	-2.0098	-4.0166	-0.0018	2.7466018	AKT_ko__Lactic_acid_oe	AKT_ko	Lactic_acid_oe	KO	OE	AKT	Lactic_acid
DOUBLE	-2.42139486	2.9822657	-2.0098	-4.0166	-0.0062	3.0620824	AKT_ko__LDHA_ko	AKT_ko	LDHA_ko	KO	KO	AKT	LDHA
DOUBLE	-2.32779094	2.839319	-2.0098	-4.0166	-0.00480000000000001	2.972212	AKT_ko__LDHA_oe	AKT_ko	LDHA_oe	KO	OE	AKT	LDHA
DOUBLE	-2.39469438	3.0129141	-2.0098	-4.0166	-0.0028	2.9270769	AKT_ko__MAP3K1_3_ko	AKT_ko	MAP3K1_3_ko	KO	KO	AKT	MAP3K1_3
DOUBLE	-2.34878343	-0.2035033	-2.0098	-4.0166	0.0152	-1.0048	AKT_ko__MAP3K1_3_oe	AKT_ko	MAP3K1_3_oe	KO	OE	AKT	MAP3K1_3
DOUBLE	-2.00714713	2.0663777	-2.0098	-4.0166	-0.002	2.4466974	AKT_ko__MDM2_ko	AKT_ko	MDM2_ko	KO	KO	AKT	MDM2
DOUBLE	-2.8310239	3.815668	-2.0098	-4.0166	-0.0048	3.3912154	AKT_ko__MDM2_oe	AKT_ko	MDM2_oe	KO	OE	AKT	MDM2
DOUBLE	-2.35408409	3.3009578	-2.0098	-4.0166	0.0044	3.047135	AKT_ko__MED12_ko	AKT_ko	MED12_ko	KO	KO	AKT	MED12
DOUBLE	-2.30543342	2.4444236	-2.0098	-4.0166	-0.009842	2.2983984	AKT_ko__MED12_oe	AKT_ko	MED12_oe	KO	OE	AKT	MED12
DOUBLE	-2.43700243	3.0439957	-2.0098	-4.0166	-0.00260000000000001	3.09681	AKT_ko__MEK1_2_ko	AKT_ko	MEK1_2_ko	KO	KO	AKT	MEK1_2
DOUBLE	-2.32606965	3.0634604	-2.0098	-4.0166	-0.004	3.1254585	AKT_ko__MEK1_2_oe	AKT_ko	MEK1_2_oe	KO	OE	AKT	MEK1_2
DOUBLE	-2.36570144	3.0598643	-2.0098	-4.0166	-0.0056	3.066029	AKT_ko__mTORC1_ko	AKT_ko	mTORC1_ko	KO	KO	AKT	mTORC1
DOUBLE	-1.6689918	2.4431491	-2.0098	-4.0166	-0.0106	2.7333336	AKT_ko__mTORC1_oe	AKT_ko	mTORC1_oe	KO	OE	AKT	mTORC1
DOUBLE	-2.4287917	3.031923	-2.0098	-4.0166	-0.00940000000000001	3.045877	AKT_ko__mTORC2_ko	AKT_ko	mTORC2_ko	KO	KO	AKT	mTORC2
DOUBLE	-2.33997695	2.7287352	-2.0098	-4.0166	0.0022	2.826913	AKT_ko__mTORC2_oe	AKT_ko	mTORC2_oe	KO	OE	AKT	mTORC2
DOUBLE	-1.3087228	1.7913416	-2.0098	-4.0166	-0.0078	3.2564633	AKT_ko__MXI1_ko	AKT_ko	MXI1_ko	KO	KO	AKT	MXI1
DOUBLE	-4.014	4.7725467	-2.0098	-4.0166	0.0194	3.1779404	AKT_ko__MXI1_oe	AKT_ko	MXI1_oe	KO	OE	AKT	MXI1
DOUBLE	-2.4775492	2.6847941	-2.0098	-4.0166	0.015	2.785178	AKT_ko__MYC_ko	AKT_ko	MYC_ko	KO	KO	AKT	MYC
DOUBLE	-2.43094523	2.90074	-2.0098	-4.0166	0.0144	3.0484565	AKT_ko__MYC_MAX_ko	AKT_ko	MYC_MAX_ko	KO	KO	AKT	MYC_MAX
DOUBLE	0.0765340999999999	-2.0987796	-2.0098	-4.0166	-0.0314	-0.3278034	AKT_ko__MYC_MAX_oe	AKT_ko	MYC_MAX_oe	KO	OE	AKT	MYC_MAX
DOUBLE	-1.6149998	2.5881954	-2.0098	-4.0166	-0.0112	3.0012532	AKT_ko__MYC_oe	AKT_ko	MYC_oe	KO	OE	AKT	MYC
DOUBLE	-2.35361923	2.7594635	-2.0098	-4.0166	-0.0016	2.9292769	AKT_ko__NCOA3_ko	AKT_ko	NCOA3_ko	KO	KO	AKT	NCOA3
DOUBLE	-2.40677293	3.1326531	-2.0098	-4.0166	-0.017	3.030641	AKT_ko__NCOA3_oe	AKT_ko	NCOA3_oe	KO	OE	AKT	NCOA3
DOUBLE	-2.1629464	2.4314763	-2.0098	-4.0166	-0.0038	2.4333505	AKT_ko__NCOR1_ko	AKT_ko	NCOR1_ko	KO	KO	AKT	NCOR1
DOUBLE	-2.48398848	2.9485978	-2.0098	-4.0166	-0.0074	3.025494	AKT_ko__NCOR1_oe	AKT_ko	NCOR1_oe	KO	OE	AKT	NCOR1
DOUBLE	-2.32814055	2.8441456	-2.0098	-4.0166	-0.00140000000000001	2.8340598	AKT_ko__NCOR2_ko	AKT_ko	NCOR2_ko	KO	KO	AKT	NCOR2
DOUBLE	-2.45767386	3.1710489	-2.0098	-4.0166	-0.0034	3.2532633	AKT_ko__NCOR2_oe	AKT_ko	NCOR2_oe	KO	OE	AKT	NCOR2
DOUBLE	-2.4055165	2.7713646	-2.0098	-4.0166	0.000199999999999999	2.8362598	AKT_ko__NF_kB_ko	AKT_ko	NF_kB_ko	KO	KO	AKT	NF_kB
DOUBLE	-2.39084386	2.9013184	-2.0098	-4.0166	-0.0134	2.7650838	AKT_ko__NF_kB_oe	AKT_ko	NF_kB_oe	KO	OE	AKT	NF_kB
DOUBLE	-2.36971916	2.6637575	-2.0098	-4.0166	-0.0042	2.7686838	AKT_ko__NF1_ko	AKT_ko	NF1_ko	KO	KO	AKT	NF1
